Appliances Current Profile of single day,,,
Air Conditioner,Electric Kettle,Electric Iron,Water Dispensor
0.075631827,-0.152428951,0.060989727,0.273101623
-0.100701313,-0.085539393,0.160254051,0.068393068
-0.115346411,-0.010300028,0.037982559,0.088593985
0.056307291,-0.171694242,0.040219187,-0.036186361
0.005517963,-0.104411532,-0.031291962,0.001819364
-0.077589577,0.379337679,-0.266452187,-0.291947201
-0.242224295,0.131491888,-0.026020277,-0.065326647
-0.029884594,-0.127237429,-0.332244032,0.127319542
0.030623308,-0.014604489,0.420809272,-0.043252868
-0.074201278,-0.288614084,-0.305227729,-0.088085399
-0.038558599,0.234305384,-0.255087994,0.051847941
0.07789905,-0.147432764,-0.32459993,-0.020745317
-0.098091304,0.219861984,0.060569993,-0.028170585
-0.102594515,0.006996962,0.337939676,-0.000864647
-0.045111576,0.109670651,-0.219089005,0.089014998
0.089349252,0.125053008,-0.054065331,-0.074200122
0.114360107,0.057436318,0.237004837,0.042711331
0.080658864,0.127153864,-0.024316014,-0.150719216
0.103989743,0.179721795,-0.146509861,-0.071814327
0.03501218,-0.413903944,0.966379948,0.098942195
0.177914858,0.033705122,-0.106390312,0.017706087
0.022146689,-0.159154773,-0.044416002,0.036088997
-0.015303207,-0.010706238,-0.187745651,-0.107040211
-0.079389765,0.094729365,-0.313481028,-0.150199433
0.062727788,0.068100351,0.274620365,0.044442261
-0.054129282,-0.000704537,-0.136213605,-0.11533024
-0.022964698,0.042797418,0.599252305,-0.099173022
0.019443932,0.233236092,0.49322347,-0.064135115
-0.044689372,0.277122371,0.495490859,0.174807895
0.074865181,0.007882399,0.128792125,-0.012181897
0.070621706,0.042563,0.103477282,0.159360547
0.238529917,-0.009461994,0.429984821,0.110253518
0.039555269,0.010845992,-0.085356962,0.009517172
0.189804262,-0.071111905,-0.048286391,0.015974236
0.251231704,-0.001821366,-0.032510844,0.13850122
0.126323662,-0.049153494,-0.165547957,0.101161466
0.085359915,-0.024345409,0.412416561,0.035697911
-0.134439329,0.129215997,-0.112304396,0.087427472
-0.029865151,0.134597843,-0.472009948,-0.099378675
0.010714287,-0.043206274,0.073225102,-0.034069565
-0.087268753,0.125283958,0.063887157,-0.039582215
0.14841229,0.002576759,0.407854225,0.124567498
0.032416484,-0.207811594,0.115471561,0.084354344
0.056997017,0.323135422,0.085869545,-0.07819154
0.11760982,-0.140345442,0.155625008,-0.034338649
-0.025430264,-0.110231629,-0.35425484,0.013739769
-0.016284864,0.189396398,0.061432408,0.071823773
0.128105598,0.018993903,-0.516629478,0.121410153
-0.046345361,-0.181653341,0.146116993,0.047976934
0.189041252,-0.209887239,-0.546713627,-0.037650254
-0.010989451,-0.030889426,0.141230069,0.070643242
0.011806409,-0.126041886,0.143929796,-0.135479151
-0.073249827,0.16281931,-0.131878613,-0.048867538
-0.073526784,-0.145971654,-0.227828964,0.035869275
-0.046184402,-0.275870009,0.269160504,0.011117684
0.082155805,0.308756057,-0.074463093,0.089760043
-0.031604564,-0.011368567,-0.804188418,-0.22330331
-0.060775687,-0.021316264,-0.308487802,-0.050042053
0.040795157,-0.331791354,0.023784267,0.013558401
-0.040843581,-0.134889751,0.076674174,0.152061287
0.000287496,-0.400914408,-0.322146928,0.09672378
0.156357065,0.009771744,-0.33605926,-0.090359212
-0.022931186,0.267543454,0.036760833,-0.019033472
0.204086064,0.065453691,0.014568309,-0.135724668
0.136533049,-0.103338279,-0.163522977,-0.123203992
